"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"10202","Templestowe Lower",3,"h",1211000,"S","Philip","19/11/2016",13.8,2,2,875,123,1970,"Manningham City Council",-37.767,145.1097,"Eastern Metropolitan","5420"
"10204","Templestowe Lower",4,"h",1100000,"PI","Barry","19/11/2016",13.8,2,4,654,199,1970,"Manningham City Council",-37.7639,145.1145,"Eastern Metropolitan","5420"
"10213","Templestowe Lower",3,"h",1002000,"S","Barry","24/09/2016",13.8,1,2,799,174,1960,"Manningham City Council",-37.7698,145.1028,"Eastern Metropolitan","5420"
"10219","Templestowe Lower",4,"h",1209000,"S","Barry","26/07/2016",13.8,2,2,770,160,1965,"Manningham City Council",-37.7617,145.1065,"Eastern Metropolitan","5420"
"10220","Templestowe Lower",5,"h",2080000,"S","Barry","26/07/2016",13.8,4,2,646,360,2016,"Manningham City Council",-37.7625,145.1043,"Eastern Metropolitan","5420"
"10223","Templestowe Lower",4,"h",1118000,"S","Philip","27/06/2016",13.8,2,2,705,195,1970,"Manningham City Council",-37.7595,145.1176,"Eastern Metropolitan","5420"
"10226","Templestowe Lower",4,"h",903000,"S","Barry","27/06/2016",13.8,1,2,618,22,1960,"Manningham City Council",-37.7564,145.1043,"Eastern Metropolitan","5420"
"10227","Templestowe Lower",3,"h",1220000,"SP","Jellis","27/11/2016",13.8,1,2,720,133,1960,"Manningham City Council",-37.7668,145.1086,"Eastern Metropolitan","5420"
"10233","Templestowe Lower",4,"h",1650000,"PI","Jellis","27/11/2016",13.8,2,2,673,280,2005,"Manningham City Council",-37.7647,145.1186,"Eastern Metropolitan","5420"
"10234","Templestowe Lower",4,"h",1182500,"S","Barry","27/11/2016",13.8,2,2,650,150,1975,"Manningham City Council",-37.7764,145.1216,"Eastern Metropolitan","5420"
"10235","Templestowe Lower",4,"h",1020000,"S","Barry","27/11/2016",13.8,2,2,652,145,1965,"Manningham City Council",-37.7557,145.0957,"Eastern Metropolitan","5420"
"10239","Templestowe Lower",3,"h",650000,"VB","RT","28/05/2016",13.8,1,2,327,120,1975,"Manningham City Council",-37.7709,145.1104,"Eastern Metropolitan","5420"
"10242","Templestowe Lower",3,"h",1509000,"S","Barry","28/05/2016",13.8,2,2,812,158,1960,"Manningham City Council",-37.7714,145.1141,"Eastern Metropolitan","5420"
"10253","Thornbury",1,"u",517500,"S","Harcourts","3/12/2016",6.5,1,0,478,53,1910,"Darebin City Council",-37.762,144.996,"Northern Metropolitan","8870"
"10255","Thornbury",1,"u",370000,"VB","Jellis","3/12/2016",6.5,1,1,478,62,1999,"Darebin City Council",-37.7634,145.021,"Northern Metropolitan","8870"
"10257","Thornbury",2,"t",805000,"S","Nelson","4/02/2016",6.5,1,2,164,95,2009,"Darebin City Council",-37.7536,144.9825,"Northern Metropolitan","8870"
"10261","Thornbury",4,"h",1428888,"SP","Miles","4/03/2017",6.5,2,1,470,153,1930,"Darebin City Council",-37.7601,145.0122,"Northern Metropolitan","8870"
"10263","Thornbury",2,"h",940000,"S","Nelson","7/05/2016",6.5,1,1,372,110,1950,"Darebin City Council",-37.7631,145.0091,"Northern Metropolitan","8870"
"10264","Thornbury",1,"u",270000,"PI","Nelson","7/11/2016",6.5,1,1,478,33,1970,"Darebin City Council",-37.7581,144.9944,"Northern Metropolitan","8870"
"10277","Thornbury",1,"u",365000,"S","McGrath","10/12/2016",6.5,1,1,478,40,1970,"Darebin City Council",-37.7544,145.0092,"Northern Metropolitan","8870"
"10280","Thornbury",2,"u",525500,"S","Nelson","11/02/2017",6.5,1,1,724,72,1975,"Darebin City Council",-37.7564,145.0026,"Northern Metropolitan","8870"
"10282","Thornbury",2,"h",944000,"SP","Barry","12/06/2016",6.5,1,1,185,78,1900,"Darebin City Council",-37.763,145.0025,"Northern Metropolitan","8870"
"10284","Thornbury",3,"h",887000,"S","Love","12/11/2016",6.5,2,2,540,129,1935,"Darebin City Council",-37.7554,145.0211,"Northern Metropolitan","8870"
"10287","Thornbury",3,"h",701000,"S","Stockdale","13/08/2016",6.5,3,2,273,71,1958,"Darebin City Council",-37.7583,145.0174,"Northern Metropolitan","8870"
"10289","Thornbury",2,"h",1110000,"SP","Barry","14/05/2016",6.5,1,0,288,105,1925,"Darebin City Council",-37.7564,144.9971,"Northern Metropolitan","8870"
"10293","Thornbury",1,"u",332000,"SP","Harcourts","14/05/2016",6.5,1,1,612,48,1975,"Darebin City Council",-37.7603,145.0165,"Northern Metropolitan","8870"
"10295","Thornbury",3,"h",1265000,"S","Jellis","15/10/2016",6.5,2,2,397,97,1920,"Darebin City Council",-37.7515,144.9857,"Northern Metropolitan","8870"
"10296","Thornbury",2,"h",1085000,"S","Nelson","15/10/2016",6.5,1,2,303,102,1930,"Darebin City Council",-37.7569,144.9914,"Northern Metropolitan","8870"
"10297","Thornbury",3,"h",898000,"S","hockingstuart","16/04/2016",6.5,2,2,210,108,2010,"Darebin City Council",-37.7551,144.9993,"Northern Metropolitan","8870"
"10298","Thornbury",3,"h",1235000,"S","Jellis","16/04/2016",6.5,3,1,288,133,1920,"Darebin City Council",-37.7583,145.0025,"Northern Metropolitan","8870"
"10299","Thornbury",3,"t",910500,"SP","hockingstuart","16/04/2016",6.5,2,2,157,144,2010,"Darebin City Council",-37.759,144.988,"Northern Metropolitan","8870"
"10300","Thornbury",3,"h",995000,"S","Jellis","16/04/2016",6.5,1,1,327,96,1920,"Darebin City Council",-37.7574,144.9854,"Northern Metropolitan","8870"
"10301","Thornbury",2,"h",760000,"S","Nelson","16/04/2016",6.5,1,0,478,75,1900,"Darebin City Council",-37.7595,145.0061,"Northern Metropolitan","8870"
"10302","Thornbury",2,"u",505000,"S","Jellis","16/04/2016",6.5,1,0,478,80,1980,"Darebin City Council",-37.7591,145.0211,"Northern Metropolitan","8870"
"10303","Thornbury",3,"h",1400000,"SP","Jellis","17/09/2016",6.5,2,1,417,159,1920,"Darebin City Council",-37.7595,145.0017,"Northern Metropolitan","8870"
"10306","Thornbury",3,"h",1110000,"S","Nelson","17/09/2016",6.5,1,1,562,156,1950,"Darebin City Council",-37.7602,144.9878,"Northern Metropolitan","8870"
"10307","Thornbury",3,"h",1200000,"VB","Nelson","17/09/2016",6.5,2,1,345,345,1905,"Darebin City Council",-37.7582,145.0094,"Northern Metropolitan","8870"
"10311","Thornbury",2,"u",450000,"S","McGrath","18/03/2017",6.5,1,1,478,52,1970,"Darebin City Council",-37.7526,145.0023,"Northern Metropolitan","8870"
"10322","Thornbury",2,"h",874000,"S","Love","19/11/2016",6.5,1,2,333,2,1985,"Darebin City Council",-37.7642,145.0192,"Northern Metropolitan","8870"
"10323","Thornbury",3,"h",1427000,"S","Nelson","19/11/2016",6.5,1,1,275,127,1920,"Darebin City Council",-37.7592,145.0105,"Northern Metropolitan","8870"
"10326","Thornbury",1,"u",383000,"S","Love","19/11/2016",6.5,1,1,478,44,1965,"Darebin City Council",-37.7539,145.0075,"Northern Metropolitan","8870"
"10331","Thornbury",3,"h",1290000,"SP","Barry","22/05/2016",6.5,1,2,435,138,1920,"Darebin City Council",-37.7607,145.0105,"Northern Metropolitan","8870"
"10334","Thornbury",2,"u",450000,"PI","Nelson","22/08/2016",6.5,1,1,335,59,1960,"Darebin City Council",-37.7516,144.9871,"Northern Metropolitan","8870"
"10337","Thornbury",2,"u",438000,"SP","Love","22/08/2016",6.5,1,1,478,66,1970,"Darebin City Council",-37.7541,145.0088,"Northern Metropolitan","8870"
"10341","Thornbury",3,"h",1250000,"VB","Nelson","24/09/2016",6.5,2,3,297,234,2013,"Darebin City Council",-37.7617,145.0117,"Northern Metropolitan","8870"
"10342","Thornbury",3,"t",1070000,"S","Jellis","24/09/2016",6.5,2,2,158,140,2007,"Darebin City Council",-37.7588,144.9881,"Northern Metropolitan","8870"
"10344","Thornbury",3,"h",1570000,"SP","McGrath","24/09/2016",6.5,2,1,377,377,1920,"Darebin City Council",-37.7578,145.0076,"Northern Metropolitan","8870"
"10345","Thornbury",2,"u",486000,"S","Nelson","24/09/2016",6.5,1,1,478,66,1960,"Darebin City Council",-37.761,145.0055,"Northern Metropolitan","8870"
"10347","Thornbury",2,"h",1211000,"S","hockingstuart","25/02/2017",6.5,1,0,302,97,1915,"Darebin City Council",-37.7549,145.0035,"Northern Metropolitan","8870"
"10349","Thornbury",3,"h",1280000,"S","Jellis","25/02/2017",6.5,1,1,253,130,1910,"Darebin City Council",-37.7566,144.9965,"Northern Metropolitan","8870"
"10350","Thornbury",4,"h",1478000,"SP","Jellis","25/02/2017",6.5,2,0,387,152,1900,"Darebin City Council",-37.7569,145.0041,"Northern Metropolitan","8870"
"10354","Thornbury",3,"h",1913000,"S","McGrath","25/02/2017",6.5,2,2,611,212,1930,"Darebin City Council",-37.7575,144.9968,"Northern Metropolitan","8870"
"10358","Thornbury",4,"h",928500,"S","Barry","26/07/2016",6.5,2,2,538,150,1960,"Darebin City Council",-37.7595,145.0241,"Northern Metropolitan","8870"
"10360","Thornbury",2,"u",432500,"S","Barry","27/06/2016",6.5,1,1,748,56,1965,"Darebin City Council",-37.7587,145.0064,"Northern Metropolitan","8870"
"10361","Thornbury",1,"u",330000,"PI","Barry","27/06/2016",6.5,1,1,478,40,1970,"Darebin City Council",-37.7544,145.0092,"Northern Metropolitan","8870"
"10365","Thornbury",3,"h",1370000,"S","Jellis","27/11/2016",6.5,2,3,417,153,1930,"Darebin City Council",-37.7602,145.0084,"Northern Metropolitan","8870"
"10368","Thornbury",1,"u",303500,"SP","Woodards","27/11/2016",6.5,1,1,478,41,1970,"Darebin City Council",-37.7542,145.01,"Northern Metropolitan","8870"
"10369","Thornbury",3,"h",1160000,"SP","McGrath","27/11/2016",6.5,2,2,644,149,2001,"Darebin City Council",-37.7604,145.021,"Northern Metropolitan","8870"
"10378","Thornbury",3,"h",1380000,"SP","Jellis","28/08/2016",6.5,2,1,359,128,1920,"Darebin City Council",-37.7565,144.9906,"Northern Metropolitan","8870"
"10384","Toorak",3,"h",1435000,"S","RT","3/12/2016",4.6,1,0,889,135,1943,"Stonnington City Council",-37.8328,145.0065,"Southern Metropolitan","7217"
"10385","Toorak",4,"h",5500000,"VB","Marshall","3/12/2016",4.6,3,2,691,374,2000,"Stonnington City Council",-37.8431,145.021,"Southern Metropolitan","7217"
"10394","Toorak",4,"h",5500000,"S","Marshall","4/03/2017",4.6,4,5,877,332,1923,"Stonnington City Council",-37.8447,145.0134,"Southern Metropolitan","7217"
"10396","Toorak",3,"h",1689000,"S","Kay","4/03/2017",4.6,1,0,222,118,1920,"Stonnington City Council",-37.8448,145.0055,"Southern Metropolitan","7217"
"10398","Toorak",3,"u",1100000,"VB","Rodney","4/03/2017",4.6,2,1,478,126,1935,"Stonnington City Council",-37.8429,145.0227,"Southern Metropolitan","7217"
"10404","Toorak",2,"u",925000,"S","RT","6/08/2016",4.6,2,2,478,109,1970,"Stonnington City Council",-37.8371,145.0066,"Southern Metropolitan","7217"
"10405","Toorak",2,"u",450000,"PI","Rodney","6/08/2016",4.6,1,1,478,62,1970,"Stonnington City Council",-37.8474,145.0078,"Southern Metropolitan","7217"
"10407","Toorak",1,"u",349000,"PI","Williams","7/05/2016",4.6,1,1,478,38,1958,"Stonnington City Council",-37.8369,145.0077,"Southern Metropolitan","7217"
"10427","Toorak",3,"t",2650000,"VB","Jellis","10/09/2016",4.6,3,2,478,291,2000,"Stonnington City Council",-37.8428,145.0171,"Southern Metropolitan","7217"
"10430","Toorak",3,"h",2820000,"PI","Kay","10/12/2016",4.6,2,2,600,205,1967,"Stonnington City Council",-37.8332,145.0117,"Southern Metropolitan","7217"
"10433","Toorak",2,"u",810000,"SP","Jellis","10/12/2016",4.6,2,2,478,94,1980,"Stonnington City Council",-37.842,145.0046,"Southern Metropolitan","7217"
"10436","Toorak",3,"h",2840000,"PI","Marshall","11/03/2017",4.6,2,4,1317,228,2000,"Stonnington City Council",-37.838,145.0054,"Southern Metropolitan","7217"
"10437","Toorak",3,"t",2700000,"VB","Kay","12/06/2016",4.6,2,2,294,220,2010,"Stonnington City Council",-37.8503,145.0292,"Southern Metropolitan","7217"
"10452","Toorak",3,"h",6250000,"S","Kay","15/10/2016",4.6,3,2,564,342,2000,"Stonnington City Council",-37.8486,145.0244,"Southern Metropolitan","7217"
"10453","Toorak",4,"h",4500000,"PI","RT","15/10/2016",4.6,3,2,732,367,1980,"Stonnington City Council",-37.8349,145.01,"Southern Metropolitan","7217"
"10455","Toorak",1,"u",541000,"S","Jellis","15/10/2016",4.6,1,1,478,57,1970,"Stonnington City Council",-37.8373,145.0116,"Southern Metropolitan","7217"
"10456","Toorak",3,"t",1550000,"VB","Kay","15/10/2016",4.6,2,2,117,214,2000,"Stonnington City Council",-37.8343,145.0112,"Southern Metropolitan","7217"
"10457","Toorak",3,"u",2205000,"S","Jellis","15/10/2016",4.6,2,2,478,185,2014,"Stonnington City Council",-37.8512,145.0282,"Southern Metropolitan","7217"
"10466","Toorak",3,"u",950000,"S","hockingstuart","18/03/2017",4.6,1,1,57,107,1960,"Stonnington City Council",-37.8371,145.012,"Southern Metropolitan","7217"
"10474","Toorak",1,"u",366000,"S","Jellis","18/06/2016",4.6,1,1,478,35,1967,"Stonnington City Council",-37.8464,145.0074,"Southern Metropolitan","7217"
"10476","Toorak",4,"h",2620000,"S","Jellis","18/06/2016",4.6,2,2,516,286,1925,"Stonnington City Council",-37.8398,145.0305,"Southern Metropolitan","7217"
"10478","Toorak",3,"h",1900000,"VB","Castran","19/11/2016",4.6,2,1,268,139,1900,"Stonnington City Council",-37.8369,145.0072,"Southern Metropolitan","7217"
"10481","Toorak",4,"h",4e+06,"S","Rodney","19/11/2016",4.6,2,2,684,331,1963,"Stonnington City Council",-37.8485,145.0169,"Southern Metropolitan","7217"
"10490","Toorak",3,"h",4200000,"S","Melbourne","23/04/2016",4.6,4,2,565,331,2005,"Stonnington City Council",-37.8448,145.0123,"Southern Metropolitan","7217"
"10497","Toorak",2,"u",690000,"S","Prowse","25/02/2017",4.6,1,1,478,83,1960,"Stonnington City Council",-37.8416,145.0313,"Southern Metropolitan","7217"
"10504","Toorak",2,"u",511000,"SP","Morleys","27/06/2016",4.6,1,2,478,68,1970,"Stonnington City Council",-37.8424,145.0184,"Southern Metropolitan","7217"
"10511","Toorak",3,"t",910000,"PI","Marshall","27/11/2016",4.6,2,2,478,136,1980,"Stonnington City Council",-37.842,145.0046,"Southern Metropolitan","7217"
"10512","Toorak",3,"h",2250000,"SP","Castran","28/05/2016",4.6,3,2,575,205,1930,"Stonnington City Council",-37.8375,145.0092,"Southern Metropolitan","7217"
"10515","Toorak",2,"u",525000,"S","Jellis","28/05/2016",4.6,1,1,478,82,1950,"Stonnington City Council",-37.8424,145.0184,"Southern Metropolitan","7217"
"10517","Toorak",3,"h",3270000,"S","Marshall","28/08/2016",4.6,2,1,363,215,1935,"Stonnington City Council",-37.8445,145.0182,"Southern Metropolitan","7217"
"10525","Viewbank",3,"h",960000,"S","Miles","3/09/2016",13.8,2,2,656,183,1990,"Banyule City Council",-37.7322,145.0995,"Eastern Metropolitan","2698"
"10527","Viewbank",4,"h",1010000,"S","Miles","3/12/2016",13.8,3,2,669,163,1960,"Banyule City Council",-37.7419,145.083,"Eastern Metropolitan","2698"
"10529","Viewbank",3,"h",880000,"SP","Buckingham","3/12/2016",13.8,2,4,704,167,1970,"Banyule City Council",-37.7327,145.0913,"Eastern Metropolitan","2698"
"10532","Viewbank",3,"h",770000,"S","Barry","4/06/2016",13.8,2,2,577,135,1970,"Banyule City Council",-37.7376,145.0895,"Eastern Metropolitan","2698"
"10533","Viewbank",4,"h",730000,"PI","Miles","4/06/2016",13.8,1,1,865,172,1960,"Banyule City Council",-37.7297,145.0946,"Eastern Metropolitan","2698"
"10539","Viewbank",4,"h",1005000,"S","Darren","7/11/2016",13.8,2,1,696,183,1950,"Banyule City Council",-37.7395,145.0875,"Eastern Metropolitan","2698"
"10541","Viewbank",2,"u",555000,"SP","Miles","10/12/2016",13.8,1,2,197,90,1980,"Banyule City Council",-37.7393,145.0806,"Eastern Metropolitan","2698"
"10543","Viewbank",2,"u",546000,"S","Miles","12/11/2016",13.8,1,1,177,100,1975,"Banyule City Council",-37.7388,145.081,"Eastern Metropolitan","2698"
"10545","Viewbank",3,"h",765000,"S","Ray","14/05/2016",13.8,1,2,608,138,1975,"Banyule City Council",-37.7396,145.0885,"Eastern Metropolitan","2698"
"10546","Viewbank",3,"h",920000,"S","Miles","14/05/2016",13.8,2,2,834,143,1975,"Banyule City Council",-37.7396,145.0884,"Eastern Metropolitan","2698"
"10554","Viewbank",5,"h",1025000,"S","Nelson","17/09/2016",13.8,3,2,531,233,1978,"Banyule City Council",-37.7378,145.0955,"Eastern Metropolitan","2698"
"10556","Viewbank",4,"h",895000,"S","Miles","18/06/2016",13.8,2,2,700,18,1980,"Banyule City Council",-37.7326,145.0881,"Eastern Metropolitan","2698"
"10558","Viewbank",3,"h",820000,"S","Morrison","22/05/2016",13.8,2,2,628,177,1960,"Banyule City Council",-37.7314,145.0941,"Eastern Metropolitan","2698"
"10560","Viewbank",3,"h",870000,"SP","Nelson","22/08/2016",13.8,1,2,698,137,1960,"Banyule City Council",-37.7343,145.0837,"Eastern Metropolitan","2698"
"10563","Viewbank",4,"h",1050000,"VB","Nelson","26/07/2016",13.8,2,2,660,202,1977,"Banyule City Council",-37.7375,145.0917,"Eastern Metropolitan","2698"
"10569","Watsonia",3,"h",660000,"S","Ken","3/12/2016",14.9,1,0,583,124,1970,"Banyule City Council",-37.7137,145.0778,"Northern Metropolitan","2329"
"10570","Watsonia",3,"h",581000,"S","Barry","3/12/2016",14.9,2,2,567,100,1970,"Banyule City Council",-37.7148,145.0851,"Northern Metropolitan","2329"
"10574","Watsonia",3,"h",6e+05,"SP","Barry","4/06/2016",14.9,1,1,605,129,1970,"Banyule City Council",-37.7166,145.0837,"Northern Metropolitan","2329"
"10575","Watsonia",3,"h",690000,"S","Buckingham","6/08/2016",14.9,2,1,308,129,2015,"Banyule City Council",-37.7078,145.0807,"Northern Metropolitan","2329"
"10578","Watsonia",3,"h",582000,"S","Ken","8/10/2016",14.9,1,0,302,90,1950,"Banyule City Council",-37.7163,145.0768,"Northern Metropolitan","2329"
"10579","Watsonia",3,"h",740000,"S","Buckingham","10/09/2016",14.9,1,1,591,104,1960,"Banyule City Council",-37.7135,145.0783,"Northern Metropolitan","2329"
"10580","Watsonia",3,"h",671000,"S","Barry","12/11/2016",14.9,2,2,280,163,2002,"Banyule City Council",-37.7153,145.0854,"Northern Metropolitan","2329"
"10581","Watsonia",3,"h",741000,"SP","Buckingham","12/11/2016",14.9,1,1,671,103,1960,"Banyule City Council",-37.7072,145.0855,"Northern Metropolitan","2329"
"10586","Watsonia",3,"u",537000,"S","Barry","14/05/2016",14.9,1,2,327,95,1960,"Banyule City Council",-37.7125,145.0768,"Northern Metropolitan","2329"
"10587","Watsonia",3,"h",1040000,"PI","Buckingham","16/04/2016",14.9,2,1,903,131,1950,"Banyule City Council",-37.7085,145.0824,"Northern Metropolitan","2329"
"10588","Watsonia",4,"h",1171000,"S","Buckingham","16/07/2016",14.9,3,2,670,325,2010,"Banyule City Council",-37.7122,145.0765,"Northern Metropolitan","2329"
"10589","Watsonia",2,"h",662000,"S","Buckingham","16/07/2016",14.9,1,2,605,114,1960,"Banyule City Council",-37.7118,145.088,"Northern Metropolitan","2329"
"10592","Watsonia",3,"h",922000,"S","Barry","22/05/2016",14.9,1,2,798,153,1960,"Banyule City Council",-37.7112,145.0869,"Northern Metropolitan","2329"
"10594","Watsonia",3,"h",860500,"S","Barry","24/09/2016",14.9,2,0,767,147,1960,"Banyule City Council",-37.7084,145.0788,"Northern Metropolitan","2329"
"10596","Watsonia",3,"h",702000,"S","Buckingham","24/09/2016",14.9,1,1,604,97,1970,"Banyule City Council",-37.7115,145.088,"Northern Metropolitan","2329"
"10597","Watsonia",3,"h",627500,"S","Barry","24/09/2016",14.9,1,1,319,96,2000,"Banyule City Council",-37.7165,145.0759,"Northern Metropolitan","2329"
"10600","Watsonia",3,"u",549000,"S","Darren","27/06/2016",14.9,1,1,478,89,1980,"Banyule City Council",-37.7141,145.0754,"Northern Metropolitan","2329"
"10603","Watsonia",2,"h",701000,"S","Barry","28/05/2016",14.9,1,2,762,98,1970,"Banyule City Council",-37.7112,145.0861,"Northern Metropolitan","2329"
"10604","Watsonia",3,"h",645000,"S","Ray","28/08/2016",14.9,1,1,355,111,1966,"Banyule City Council",-37.7065,145.0825,"Northern Metropolitan","2329"
"10607","West Melbourne",3,"t",1010000,"S","Jellis","3/09/2016",1.9,3,2,478,132,1940,"Melbourne City Council",-37.8048,144.9424,"Northern Metropolitan","2230"
"10609","West Melbourne",3,"h",1260000,"S","Alexkarbon","4/06/2016",1.9,3,2,506,195,2000,"Melbourne City Council",-37.805,144.9448,"Northern Metropolitan","2230"
"10611","West Melbourne",1,"u",460000,"PI","Nelson","4/06/2016",1.9,1,1,478,52,2000,"Melbourne City Council",-37.8076,144.9456,"Northern Metropolitan","2230"
"10613","West Melbourne",3,"h",2370000,"S","Alexkarbon","4/06/2016",1.9,3,2,265,280,1880,"Melbourne City Council",-37.8073,144.9481,"Northern Metropolitan","2230"
"10614","West Melbourne",2,"t",8e+05,"VB","Nelson","6/08/2016",1.9,2,2,54,89,2006,"Melbourne City Council",-37.8094,144.9479,"Northern Metropolitan","2230"
"10615","West Melbourne",1,"u",550000,"S","Nelson","7/05/2016",1.9,1,1,478,207,1930,"Melbourne City Council",-37.8076,144.9456,"Northern Metropolitan","2230"
"10616","West Melbourne",3,"u",660000,"PI","hockingstuart","7/05/2016",1.9,2,1,478,100,1998,"Melbourne City Council",-37.8118,144.9526,"Northern Metropolitan","2230"
"10618","West Melbourne",2,"t",1055000,"S","Jellis","8/10/2016",1.9,1,1,478,154,2009,"Melbourne City Council",-37.8094,144.9452,"Northern Metropolitan","2230"
"10625","West Melbourne",3,"u",995000,"S","Alexkarbon","18/03/2017",1.9,1,1,478,153,1940,"Melbourne City Council",-37.8076,144.9474,"Northern Metropolitan","2230"
"10628","West Melbourne",1,"u",443000,"S","Nelson","24/09/2016",1.9,1,1,547,58,1900,"Melbourne City Council",-37.806,144.942,"Northern Metropolitan","2230"
"10629","West Melbourne",3,"t",1120000,"S","Jellis","25/02/2017",1.9,3,1,801,122,2008,"Melbourne City Council",-37.8067,144.9435,"Northern Metropolitan","2230"
"10631","West Melbourne",1,"u",482000,"SP","Nelson","26/07/2016",1.9,1,1,478,62,1930,"Melbourne City Council",-37.8076,144.9456,"Northern Metropolitan","2230"
"10632","West Melbourne",2,"u",620000,"S","Jellis","28/05/2016",1.9,1,1,478,83,2002,"Melbourne City Council",-37.8091,144.952,"Northern Metropolitan","2230"
"10634","West Melbourne",3,"u",601000,"S","MICM","30/07/2016",1.9,1,1,478,81,1996,"Melbourne City Council",-37.8118,144.9526,"Northern Metropolitan","2230"
"10636","Williamstown",4,"h",1400000,"S","Gunn&Co","3/09/2016",8,2,1,320,160,1950,"Hobsons Bay City Council",-37.8613,144.8988,"Western Metropolitan","6380"
"10638","Williamstown",3,"h",1535000,"S","Greg","3/09/2016",8,1,1,507,186,1910,"Hobsons Bay City Council",-37.8681,144.8994,"Western Metropolitan","6380"
"10639","Williamstown",3,"u",890000,"S","Gunn&Co","3/12/2016",8,1,3,478,111,1980,"Hobsons Bay City Council",-37.8663,144.8883,"Western Metropolitan","6380"
"10641","Williamstown",3,"h",1800000,"VB","Raine","4/03/2017",8,2,2,332,252,2006,"Hobsons Bay City Council",-37.8652,144.9019,"Western Metropolitan","6380"
"10644","Williamstown",4,"h",2910000,"SP","Greg","4/03/2017",8,3,0,338,196,1890,"Hobsons Bay City Council",-37.8633,144.8963,"Western Metropolitan","6380"
"10645","Williamstown",3,"h",2910000,"SP","Greg","4/03/2017",8,3,2,515,286,1990,"Hobsons Bay City Council",-37.8609,144.8947,"Western Metropolitan","6380"
"10647","Williamstown",3,"h",1200000,"S","RT","4/06/2016",8,2,2,315,174,1990,"Hobsons Bay City Council",-37.8595,144.8868,"Western Metropolitan","6380"
"10653","Williamstown",3,"h",1460000,"S","Greg","7/05/2016",8,1,2,373,107,1970,"Hobsons Bay City Council",-37.8661,144.8973,"Western Metropolitan","6380"
"10654","Williamstown",1,"u",310000,"SP","Sweeney","7/05/2016",8,1,1,478,58,1968,"Hobsons Bay City Council",-37.8588,144.8919,"Western Metropolitan","6380"
"10655","Williamstown",3,"h",1200000,"S","Williams","7/11/2016",8,2,2,348,200,1997,"Hobsons Bay City Council",-37.8578,144.8799,"Western Metropolitan","6380"
"10656","Williamstown",3,"h",1560000,"SP","Greg","7/11/2016",8,2,2,310,179,2005,"Hobsons Bay City Council",-37.8644,144.9039,"Western Metropolitan","6380"
"10658","Williamstown",3,"h",1575000,"S","Greg","7/11/2016",8,2,3,430,215,1996,"Hobsons Bay City Council",-37.8613,144.8939,"Western Metropolitan","6380"
"10659","Williamstown",2,"t",830000,"SP","Greg","7/11/2016",8,1,1,84,110,1980,"Hobsons Bay City Council",-37.8581,144.9015,"Western Metropolitan","6380"
"10663","Williamstown",3,"h",1470000,"S","Jas","8/10/2016",8,2,1,364,93,1970,"Hobsons Bay City Council",-37.8513,144.8961,"Western Metropolitan","6380"
"10664","Williamstown",4,"h",2230000,"S","Greg","10/09/2016",8,2,2,782,212,1900,"Hobsons Bay City Council",-37.8647,144.8867,"Western Metropolitan","6380"
"10665","Williamstown",3,"t",1460000,"S","Greg","10/12/2016",8,2,2,506,180,2010,"Hobsons Bay City Council",-37.8658,144.8857,"Western Metropolitan","6380"
"10672","Williamstown",4,"h",1330000,"S","Williams","12/11/2016",8,3,2,217,266,2003,"Hobsons Bay City Council",-37.8634,144.8796,"Western Metropolitan","6380"
"10674","Williamstown",3,"h",1010000,"S","Raine","13/08/2016",8,2,2,418,204,1995,"Hobsons Bay City Council",-37.8571,144.8767,"Western Metropolitan","6380"
"10676","Williamstown",2,"u",513500,"S","RT","14/05/2016",8,1,1,478,72,1980,"Hobsons Bay City Council",-37.8536,144.8981,"Western Metropolitan","6380"
"10680","Williamstown",4,"h",1805000,"S","Greg","16/04/2016",8,2,2,466,160,1930,"Hobsons Bay City Council",-37.8621,144.8872,"Western Metropolitan","6380"
"10683","Williamstown",4,"h",1126000,"SP","Raine&Horne","16/04/2016",8,1,1,307,150,1900,"Hobsons Bay City Council",-37.8525,144.8945,"Western Metropolitan","6380"
"10684","Williamstown",3,"t",935000,"SP","Sweeney","16/04/2016",8,2,1,233,194,2002,"Hobsons Bay City Council",-37.8573,144.8911,"Western Metropolitan","6380"
"10691","Williamstown",2,"u",375000,"SP","Williams","17/09/2016",8,1,1,478,49,1970,"Hobsons Bay City Council",-37.8504,144.8924,"Western Metropolitan","6380"
"10700","Williamstown",4,"h",2050000,"S","Sweeney","22/05/2016",8,2,2,648,285,2011,"Hobsons Bay City Council",-37.8601,144.8879,"Western Metropolitan","6380"
"10702","Williamstown",3,"h",1310000,"S","Sweeney","24/09/2016",8,2,1,185,139,1900,"Hobsons Bay City Council",-37.8664,144.9072,"Western Metropolitan","6380"
"10704","Williamstown",2,"u",491500,"S","RT","24/09/2016",8,1,1,478,61,1970,"Hobsons Bay City Council",-37.8563,144.8995,"Western Metropolitan","6380"
"10706","Williamstown",2,"u",547500,"SP","Greg","24/09/2016",8,1,1,478,60,1980,"Hobsons Bay City Council",-37.8612,144.8971,"Western Metropolitan","6380"
"10712","Williamstown",3,"h",1210000,"S","Williams","25/02/2017",8,1,0,249,85,1910,"Hobsons Bay City Council",-37.86,144.895,"Western Metropolitan","6380"
